Array Size, Bubble Sort, Selection Sort, QuickSort
1000,11,3,1
2000,8,4,1
3000,5,4,3
4000,9,7,4
5000,12,11,0
6000,17,16,1
7000,23,22,0
8000,34,29,0
9000,40,38,1
10000,50,45,0
11000,68,54,1
12000,76,68,0
13000,82,76,12
14000,97,88,1
15000,118,109,0
16000,129,116,0
17000,145,139,0
18000,163,151,0
19000,181,165,0
20000,203,177,0
21000,217,202,1
22000,265,236,1
23000,297,243,1
24000,298,285,1
25000,343,311,1
26000,343,310,1
27000,376,335,1
28000,396,361,1
29000,416,407,1
30000,538,443,2
31000,493,434,2
32000,513,460,1
33000,535,503,2
34000,578,525,1
35000,622,558,2
36000,658,613,1
37000,683,619,2
38000,713,657,2
39000,785,683,1
40000,799,715,2
41000,849,769,2
42000,876,811,2
43000,928,842,2
44000,1001,962,3
45000,1039,915,2
46000,1071,978,2
47000,1111,989,2
48000,1159,1052,1
49000,1231,1122,2
50000,1243,1136,2
51000,1318,1192,3
52000,1343,1234,2
53000,1401,1265,2
54000,1457,1317,2
55000,1506,1356,2
56000,1565,1427,2
57000,1620,1524,2
58000,1714,1551,2
59000,1754,1619,3
60000,1850,1637,2
61000,1908,1679,2
62000,1929,1746,3
63000,2008,1791,2
64000,2097,1879,2
65000,2116,1929,3
66000,2203,2011,2
67000,2318,2066,2
68000,2340,2095,5
69000,2430,2173,3
70000,2501,2279,3
71000,2577,2298,3
72000,2619,2385,3
73000,2728,2458,3
74000,2785,2492,3
75000,2861,2552,3
76000,2948,2645,3
77000,3042,2742,4
78000,3131,2881,3
79000,3220,2850,3
80000,3301,2886,3
81000,3369,2990,3
82000,3395,3046,3
83000,3584,3241,5
84000,3724,3372,3
85000,3692,3313,4
86000,3770,3543,3
87000,4001,3535,4
88000,3931,3604,4
89000,4167,3838,4
90000,4150,3668,4
91000,4192,4131,4
92000,4490,4135,4
93000,5056,4349,5
94000,5011,4454,4
95000,5691,4790,5
96000,5556,5043,4
97000,6481,5629,5
98000,6761,5233,5
99000,5366,5141,5
100000,6375,5892,5
